,Date,Route,Operator,Aircraft Type,All Aboard,Passengers Aboard,Crew Aboard,Total Fatalities,Passenger Fatalities,Crew Fatalities,Year,Month,Season
155,"July 13, 1928","Purley, England",Imperial Airways,Vickers 74 Vulcan,6,5,1,4,4,0,1928,July,Summer
156,"July 24, 1928","Waalhaven, Netherlands",KLM Royal Dutch Airlines,Fokker (KLM) F.III,6,5,1,1,1,0,1928,July,Summer
157,"August 25, 1928","Near Port Townsend, BC, Canada",British Columbia Airways,Ford 4-AT-B Tri Motor,7,5,2,7,5,2,1928,August,Summer
158,"September 02, 1928","Toul, France",CIDNA,Bleriot Spad 33,5,2,3,5,2,3,1928,September,Autumn
159,"September 04, 1928","Adelaide Hills, Australia",Qantas,de Havilland DH.50J,2,0,2,1,0,1,1928,September,Autumn
160,"September 04, 1928","Pocatello, Idaho",National Parks Airways,Fokker Super Universal,7,6,1,7,6,1,1928,September,Autumn
161,"September 06, 1928","Heroldbach, Germany",Deutsche Lufthansa,Fokker FG III,3,2,1,3,2,1,1928,September,Autumn
162,"October 04, 1928","Gerona, Spain",Aeropostale,Breguet 14,3,2,1,3,2,1,1928,October,Autumn
163,"October 18, 1928","Polk, Pennsylvania",National Air Transport,Douglas M-4,1,0,1,1,0,1,1928,October,Autumn
164,"October 31, 1928","Valence, France",Air Union,Bleriot Spad 56,2,1,1,1,0,1,1928,October,Autumn
166,"November 24, 1928","Edgerton, Ohio",Universal Airlines,Hamilton H-47,3,2,1,3,2,1,1928,November,Autumn
167,"November 25, 1928","Edgerton, Ohio",Continental Air Lines,Travel Air 4000,1,0,1,1,0,1,1928,November,Autumn
168,"November 25, 1928","Bristolville, Ohio",National Air Transport,Douglas M-4,1,0,1,1,0,1,1928,November,Autumn
169,"December 01, 1928","Spur, Texas",Sunbeam Air Transport Co.,Ford 4-AT-B Tri Motor,5,4,1,5,4,1,1928,December,Winter
170,"December 03, 1928","Near Rio de Janeiro,Brazil",Syndicato Condor,Dornier Wal,14,9,5,14,9,5,1928,December,Winter
171,"December 10, 1928","Spokan, Washington",Spokane Airways,Ford Tri-motor 4,5,3,2,5,3,2,1928,December,Winter
172,"December 11, 1928","Letzlingen, Germany",Deutsche Lufthansa,Junkers G-31,4,1,3,3,0,3,1928,December,Winter
173,"December 20, 1928","Huron, Ohio",National Air Transport,Douglas M-4,1,0,1,1,0,1,1928,December,Winter
174,"December 23, 1928","Chattanooga, Tennessee",Interstate Airlines,Fairchild FC-2,4,3,1,4,3,1,1928,December,Winter
175,"December 31, 1928","Reims, France",CIDNA,Blériot Spad 66,3,2,1,2,2,0,1928,December,Winter
176,"January 05, 1929","Stafford Springs, Connecticut",Colonial Air Transport,Fairchild FC-2,1,0,1,1,0,1,1929,January,Winter
177,"January 18, 1929","Cove, Oregon",Varney Air Lines,Stearman C-38,1,0,1,1,0,1,1929,January,Winter
178,"January 25, 1929","Near Corfu, Greece",Aeroespresso,CMASA Wal,9,7,2,2,7,2,1929,January,Winter
179,"January 31, 1929",Off Morocco,Aeropostale,Latecoere 26,2,0,2,2,0,2,1929,January,Winter
180,"January 31, 1929","Morgantown, West Virginia",Skyline Transportation Company,Travel Air 4000,1,0,1,1,0,1,1929,January,Winter
181,"March 17, 1929","Newark, New Jersey",Colonial Western Airlines,Ford 5-AT-B Tri Motor,15,13,2,14,13,1,1929,March,Spring
182,"March 30, 1929","Near Beaumont, California",New Standard Airlines,Fokker F-VIIA,4,3,1,4,3,1,1929,March,Spring
183,"April 21, 1929","San Diego, California",Maddux Airlines / Military - U.S.Army Air Force,Ford 5-AT-B Tri-Motor / B-PW-9D,6,3,3,6,3,3,1929,April,Spring
184,"May 09, 1929","Tampico, Mexico",Mexicana,Ford Tri-motor 4,5,4,1,5,4,1,1929,May,Spring
185,"May 18, 1929","Tököl,  Pest Hungary",MALERT,Fokker F-III,2,0,2,2,0,2,1929,May,Spring
186,"May 22, 1929",Algiers,Aeropostale,Cams 53,6,3,3,4,3,2,1929,May,Spring
187,"June 13, 1929","Santiago de Cuba, Cuba",Pan American Airways,Fokker F-X,5,1,4,2,1,1,1929,June,Summer
188,"June 14, 1929","Barcelona, Spain",Aeropostale,Breguet 14,2,0,2,1,0,1,1929,June,Summer
189,"June 17, 1929","Off Dungeness, England",Imperial Airways,Handley Page W-10,13,11,2,7,7,0,1929,June,Summer
190,"June 24, 1929","St. Paul, Minnesota",Northwest Orient Airlines,Ford 5-AT-B Tri-Motor,8,6,2,1,0,1,1929,June,Summer
191,"June 29, 1929","Near Lindau, Bavaria, Germany",Bodensee Aerolloyd,Domier Delphin III (flying boat),5,4,1,5,4,1,1929,June,Summer
192,"June 29, 1929","Columbus, Ohio",Continental Air Lines,Travel Air 4000,1,0,1,1,0,1,1929,June,Summer
193,"August 11, 1929","Clovis, New Mexico",Middle States Airlines,Lockheed 5 Vega,4,2,2,4,2,2,1929,August,Summer
194,"August 24, 1929","Sochi, Russia",Ukvozduchput,Kalinin K-4,1,0,1,1,0,1,1929,August,Summer
195,"August 24, 1929","Elm, Germany",Deutsche Lufthansa,Fokker FG II,5,4,1,4,3,1,1929,August,Summer
196,"September 02, 1929","Needles, California",Associated Aviators,Lockheed Vega,2,0,2,1,0,1,1929,September,Autumn
197,"September 03, 1929","Mt. Taylor, near Grants, New Mexico",Trans Continental Air Transport,Ford 5-AT-B Tri Motor,8,5,3,8,5,3,1929,September,Autumn
198,"September 06, 1929","Jask, Iran",Imperial Airways,de Havilland DH-66 Hercules,5,2,3,3,1,2,1929,September,Autumn
199,"September 14, 1929",North Atlantic Ocean,Aeropostale,Latecoere 25,6,4,2,6,4,2,1929,September,Autumn
