,Date,Route,Operator,Aircraft Type,All Aboard,Passengers Aboard,Crew Aboard,Total Fatalities,Passenger Fatalities,Crew Fatalities,Year,Month,Season
2702,"August 28, 1973","Near Huete, Spain",Military - U.S. Air Force,Lockheed C-141A,25,17,8,24,17,7,1973,August,Summer
2703,"August 28, 1973","Thirty-five miles west of Los Angeles, California",Trans World Airlines,Boeing B-707-331B,149,141,8,1,1,0,1973,August,Summer
2704,"September 08, 1973","King Cove, Alaska",World Airways,McDonnell Douglas DC-8-63F,6,3,3,6,3,3,1973,September,Autumn
2705,"September 11, 1973","Moganik, Yugoslavia",JAT Yugoslav Airlines,Aerospatiale Caravelle 6N,41,35,6,41,35,6,1973,September,Autumn
2706,"September 20, 1973","Natchitoches, Louisiana",Private Charter,Beechcraft E18S,6,5,1,6,5,1,1973,September,Autumn
2707,"September 27, 1973","Rich Mountain, Arkansas",Texas International Airlines,Convair 600,11,8,3,11,8,3,1973,September,Autumn
2708,"September 30, 1973","Miritituba, Brazil",Aeronorte,Douglas DC-3A,9,5,4,9,5,4,1973,September,Autumn
2709,"September 30, 1973","Near Sverdlovsk, Russia",Aeroflot,Tupolev TU-104B,108,100,8,108,100,8,1973,September,Autumn
2710,"October 02, 1973","Magadan, Russia",Aeroflot,Antonov AN-12V,10,8,2,10,8,2,1973,October,Autumn
2711,"October 13, 1973","Near  Domodedovo, Russia",Aeroflot,Tupolev TU-104B,122,114,8,122,114,8,1973,October,Autumn
2712,"October 23, 1973","Guanabara Bay, Brazil",VASP,NAMC YS-11A-211,65,60,5,8,8,0,1973,October,Autumn
2713,"November 02, 1973","Villavicencio, Colombia",Lineas Aéreas La Urraca,Handley Page HPR-7 Herald 101,16,12,4,6,3,3,1973,November,Autumn
2714,"November 03, 1973","Boston,: Massachusetts",Pan American World Airways,Boeing B-707-321C,3,0,3,3,0,3,1973,November,Autumn
2715,"November 03, 1973","Near Albuquerque,  New Mexico",National Airlines,McDonnell Douglas DC-10-10,128,116,12,1,1,0,1973,November,Autumn
2716,"November 17, 1973","Near Quang-Ngai, South Vietnam",Air Vietnam (South Vietnam),Douglas DC-3,27,24,3,27,24,3,1973,November,Autumn
2717,"December 07, 1973","Moscow, USSR",Aeroflot,Tupolev TU-104B,75,68,7,13,11,5,1973,December,Winter
2718,"December 16, 1973","Near Karacharovo, USSR",Aeroflot,Tupolev TU-124,51,45,6,51,45,6,1973,December,Winter
2719,"December 17, 1973","Rome, Italy",Pan American World Airways,Boeing B-707-321B,177,167,10,30,29,1,1973,December,Winter
2721,"December 22, 1973","Near Tetouan, Morocco",Royal Air Maroc,Sud-Aviation Caravelle VI-N,106,99,7,106,99,7,1973,December,Winter
2722,"December 23, 1973","Lvov, Ukraine, USSR",Aeroflot,Tupolev TU-124,17,11,6,17,11,6,1973,December,Winter
2723,"December 28, 1973","Durban, South Africa",Executive Funds,Douglas DC-3,25,22,3,1,1,0,1973,December,Winter
2724,"January 01, 1974","Near Turin, Italy",Itavia,Fokker F-28 Fellowship 1000,42,38,4,38,35,3,1974,January,Winter
2725,"January 06, 1974","Johnstown, Pennsylvania",Air East,Beechcraft 99A,17,15,2,12,11,1,1974,January,Winter
2726,"January 06, 1974","Unduavi, Bolivia",Servicios Aéreos Boliviano,Curtiss C-46F,4,1,3,4,1,3,1974,January,Winter
2727,"January 06, 1974","Mukachevo, Ukraine",Aeroflot,Antonov AN-24V,24,18,6,24,18,6,1974,January,Winter
2728,"January 09, 1974","Near Nevia, Colombia",SATENA,Hawker Siddeley HS 748-260,31,28,3,31,28,3,1974,January,Winter
2729,"January 10, 1974","La Paz, Bolivia",TAM (Bolivia),Douglas C-54,24,21,3,24,21,3,1974,January,Winter
2730,"January 17, 1974","Cigorodo, Colombia",Cessnyca,Douglas DC-3A,14,11,3,14,11,3,1974,January,Winter
2731,"January 26, 1974","Izmir, Turkey",Turkish Airlines (THY),Fokker F-28 Fellowship 1000,73,68,5,66,62,4,1974,January,Winter
2732,"January 30, 1974","Pago Pago, American Samoa",Pan American World Airways,Boeing B-707-321B,101,91,10,97,87,10,1974,January,Winter
2733,"February 02, 1974","Near Honolulu, HI",Pan American World Airways,Boeing B-747,298,279,19,1,1,0,1974,February,Winter
2734,"February 09, 1974","Near Souda, Crete",Military - West German Air Force,Transall C-160D,40,35,5,35,30,5,1974,February,Winter
2735,"February 22, 1974","Baltimore, Maryland",Delta Air Lines,Mc Donnell Dougals DC-9,15,10,5,1,0,1,1974,February,Winter
2736,"February 23, 1974","San Francisco de Moxos,  Bolivia",SAVCO,Curtiss C-46A-45-CU,7,4,3,7,4,3,1974,February,Winter
2737,"March 03, 1974","Near Ermenonville, France",Turkish Airlines (THY),McDonnell Douglas DC-10-10,346,335,11,346,335,11,1974,March,Spring
2738,"March 08, 1974","Hanoi, Vietnam",Pathet Lao Airlines,Antonov An-24,18,15,3,18,15,3,1974,March,Spring
2739,"March 13, 1974","Bishop, California",Sierra Pacific Airlines,Convair CV-440,36,32,4,36,32,4,1974,March,Spring
2740,"March 15, 1974","Tehran, Iran",Sterling Airways,Aerospatiale Caravelle 10B3,96,92,4,15,15,0,1974,March,Spring
2741,"April 04, 1974","Francistown, Botswana",Wenela Air Services,Douglas DC-4,84,80,4,78,75,3,1974,April,Spring
2742,"April 22, 1974","Grogak, Bali, Indonesia",Pan American World Airways,Boeing B-707-321C,107,96,11,107,96,11,1974,April,Spring
2743,"April 27, 1974","Near Leningrad, USSR",Aeroflot,Ilyushin IL-18B,109,102,7,109,102,7,1974,April,Spring
2744,"April 30, 1974","Galveston, Texas",Houston Metro Airlines,Beechcraft 99,12,10,2,6,5,1,1974,April,Spring
2745,"May 02, 1974","Banos, Ecuador",Aero Taxis Equatorianos,Douglas C-47,24,21,3,22,19,3,1974,May,Spring
2746,"May 06, 1974","Nurnberg, Germany",Fragtflug,Douglas DC-6A,3,0,3,3,0,3,1974,May,Spring
2747,"May 23, 1974","Springfield, Illinois",Saturn Airways,Lockheed L-100-30 Hercules,3,1,2,3,1,2,1974,May,Spring
2748,"May 23, 1974","Kiev, Ukraine, USSR",Aeroflot,Yakovlev YAK-40,29,25,4,29,25,4,1974,May,Spring
2749,"May 31, 1974","Rankin Inlet, Canada",Lambair,Bristol 170 Freighter 31E,2,0,2,2,0,2,1974,May,Spring
2750,"June 08, 1974","Monte San Isidro,  Colombia",Aerolineas TAO,Vickers Viscount 785D,44,38,6,44,38,6,1974,June,Summer
2751,"June 27, 1974","Battambang, Khmer Republic",Cambodia Air,Boeing 307B-1 Stratoliner,39,33,6,19,17,2,1974,June,Summer
2752,"June 30, 1974","Umiat, Alaska",Alaska Helicopter - Air Taxi,Fairchild Hiller FH1100,5,4,1,5,4,1,1974,June,Summer
2753,"July 24, 1974","Bogota, Colombia",Aeronorte Colombia,Douglas DC-4,3,0,3,3,0,3,1974,July,Summer
2754,"July 27, 1974","Near Moc Hoa, Vietnam",Air Amercia,Fairchild C-123K,5,1,4,5,1,4,1974,July,Summer
2755,"August 05, 1974","Mt. Apica, PQ, Canada",Laurentian Air Services,Douglas DC-3,11,8,3,5,2,3,1974,August,Summer
2756,"August 11, 1974","Near Ouagadougou, Upper Volta",Air  Mali,Ilyushin IL-18B,60,50,10,47,39,8,1974,August,Summer
2757,"August 12, 1974","Cali, Colombia",AVIANCA,Douglas C-47-DL,27,24,3,27,24,3,1974,August,Summer
2758,"August 14, 1974","Margarita Island, Venezuela",Linea Aeropostal Venezolana,Vickers Viscount 749,49,45,4,49,45,4,1974,August,Summer
2759,"August 18, 1974","Near Kisangani, Zaire",Military - Zairean Air Force,Lockheed C-130H,31,24,7,31,24,7,1974,August,Summer
2760,"September 07, 1974","Tandjung-karang, Indonesia",Garuda Indonesia Airlines,Fokker F-27 Friendship 600,39,36,3,36,33,3,1974,September,Autumn
2761,"September 08, 1974","Ionian Sea , off Kefallinia, Greece",Trans World Airlines,Boeing B-707-331B,88,79,9,88,79,9,1974,September,Autumn
2762,"September 11, 1974","Near Charlotte, North Carolina",Eastern Air Lines,McDonnell Douglas DC-9-31,82,78,4,70,68,2,1974,September,Autumn
2763,"September 15, 1974","Phan Rang, South Vietnam",Air Vietnam (South Vietnam),Boeing B-727-121C,75,67,8,75,67,8,1974,September,Autumn
2764,"October 19, 1974","Calapan, Philippines",Mabuhay Airways,Douglas DC-3,8,4,4,1,0,1,1974,October,Autumn
2765,"October 27, 1974","Old Man's Camp, Alaska",Alaska International Air,Lockheed L-100 Hercules,4,0,4,4,0,4,1974,October,Autumn
2766,"October 28, 1974","Pagosa Springs, Colorado",Hlavka Aviation - Air Taxi,Beechcraft 95-B55,2,1,1,2,1,1,1974,October,Autumn
2767,"November 01, 1974","Near Surgut, Russia",Aeroflot,Antonov An-2 / Mil Mi-8T,38,32,6,38,32,6,1974,November,Autumn
2768,"November 15, 1974","Manila, Philippines",Orient Air System and Integrated Services,Douglas C-47A-30,8,5,3,1,1,0,1974,November,Autumn
2769,"November 20, 1974","Near Nairobi, Kenya",Lufthansa,Boeing B-747-130,157,144,13,59,55,4,1974,November,Autumn
2770,"November 20, 1974","Soddu, Ethiopia",Ethiopian Airlines,Douglas DC-3,24,21,3,2,0,2,1974,November,Autumn
2771,"November 22, 1974","Barcelona, Spain",Alpa Servicios Aéreos,Cessna 500 Citation I,4,0,4,4,0,4,1974,November,Autumn
2772,"December 01, 1974","Near Berryville, Virginia",Trans World Airlines,Boeing B-727-231,92,85,7,92,85,7,1974,December,Winter
2773,"December 01, 1974","Bear Mountain,  Thiells, New York",Northwest Orient Airlines,Boeing B-727-251,3,0,3,3,0,3,1974,December,Winter
2774,"December 04, 1974","Irkutsk, Russia",Aeroflot,Antonov An-2 / Antonov An-12,18,11,7,13,11,2,1974,December,Winter
2775,"December 04, 1974","Near Maskeliya, Sri Lanka",Martinair Holland NV,McDonnell Douglas DC-8-55F,191,182,9,191,182,9,1974,December,Winter
2776,"December 11, 1974","Near Old Harbors, Alaska",Kodiak Airways,Grumman G-21,5,4,1,5,4,1,1974,December,Winter
2777,"December 12, 1974","Near Moc Hoa, South Vietnam",Military - Vietnamese Air Force,Boeing Vertol CH-47 (helicopter),54,53,1,54,53,1,1974,December,Winter
2778,"December 14, 1974","Bukhara, Uzbekistan",Aeroflot,Yakovlev 40,19,15,4,7,7,0,1974,December,Winter
2779,"December 22, 1974","Maturin, Venezuela",Aerovias Venezolanas SA (Venezuela),McDonnell Douglas DC-9-14,77,71,6,77,71,6,1974,December,Winter
2780,"December 29, 1974","Near Sibiu, Romania",Tarom,Antonov AN-24RV,33,28,5,33,28,5,1974,December,Winter
2781,"December 29, 1974","Tikal, Guatemala",Edwin Ortiz,Lockheed 18 LodeStar,24,21,3,24,213,3,1974,December,Winter
2782,"January 03, 1975","Near Nha Trang, Vietnam",Air America,Fairchild C-123K,9,6,3,9,6,3,1975,January,Winter
2783,"January 08, 1975","Near Doncello, Colombia",SATENA,Douglas DC-3,21,17,4,21,17,4,1975,January,Winter
2784,"January 09, 1975","Whittier, California",Golden West Airlines / Private,de Hav Can. DHC-6 Tw Otter 100/ Cessna,14,10,4,14,10,4,1975,January,Winter
2785,"January 15, 1975","Budapest, Hunary",Malev Hungarian Airlines,Ilyushin IL-18V,9,0,9,9,0,9,1975,January,Winter
2786,"January 16, 1975","Xam Neua, Laos",Aeroflot,Antonov AN-12,16,14,2,16,14,2,1975,January,Winter
2787,"January 30, 1975","Istanbul, Turkey",Turkish Airlines (THY),Fokker F-28 Fellowship 1000,42,38,4,42,38,4,1975,January,Winter
2788,"January 30, 1975","Santo Domingo, Dominican Republic",Linea Aérea Nacional,Douglas DC-3-313,30,27,3,2,1,1,1975,January,Winter
2789,"February 01, 1975","Houston, Texas",Horizon Properties,Douglas DC-3C,16,14,2,5,3,2,1975,February,Winter
2790,"February 03, 1975","Manila, Philippines",Philippine Air Lines,Hawker Siddeley HS-748 2,33,29,4,33,29,4,1975,February,Winter
2791,"February 09, 1975","Souda, Crete",Military - Deutsche Luftwaffe,Transall C-160,40,35,5,40,35,5,1975,February,Winter
2792,"February 16, 1975","Fairbanks, Alaska",Pacific Alaska Airlines,Douglas DC-6BF,3,0,3,3,0,3,1975,February,Winter
2793,"February 22, 1975","Medellin, Colombia",Aerocondor,Canadair CL-44,5,0,5,5,0,5,1975,February,Winter
2794,"February 27, 1975","Near Sao Paulo, Brazil",VASP,Embraer 110C Bandeirante,15,13,2,15,13,2,1975,February,Winter
2795,"March 12, 1975","Pleiku, South Vietnam",Air Vietnam (South Vietnam),Douglas DC-4,26,20,6,26,20,6,1975,March,Spring
2796,"March 16, 1975","Near Barito, Argentina",Military - Argentine Air Force,Fokker F-27 Friendship 400M,55,50,5,55,50,5,1975,March,Spring
2797,"March 18, 1975","Singa, Sudan",Sudan Airways,de Havilland Canada DHC-6 Twin Otter 100,6,4,2,5,3,2,1975,March,Spring
2798,"March 18, 1975","Near Terney, Russia",Aeroflot,Antonov An-2,12,10,2,7,6,1,1975,March,Spring
2799,"March 20, 1975","Near Quilcene, Washington",Military - U.S. Air Force,Lockheed C-141A (L.300),16,12,4,16,12,4,1975,March,Spring
2800,"April 04, 1975","Saigon, South Vietnam",Military - U.S. Air Force,Lockheed C-5A Galaxy,330,314,16,155,150,5,1975,April,Spring
2801,"May 13, 1975","Near Sakon Nakhon, Thailand",Military - U.S. Air Force,Sikorsky CH-53C (helicopter),23,19,4,23,19,4,1975,May,Spring
2802,"June 03, 1975","Manila, Philippines",Philippine Air Lines,BAC One-Eleven 524FF,64,59,5,1,1,0,1975,June,Summer
2803,"June 17, 1975","Pedro Alfonso, Brazil",Varig,Hawker Siddeley HS-748-235 Srs. 2A,15,11,4,1,0,1,1975,June,Summer
2804,"June 24, 1975","JFK Airport, New York, New York",Eastern Air Lines,Boeing B-727-225,124,116,8,113,107,6,1975,June,Summer
2805,"June 26, 1975","Toledo, Ohio",Hamilton Aviation,Beechcraft E18S,2,1,1,2,1,1,1975,June,Summer
2806,"July 10, 1975","Bogota, Colombia",Aerovias Condor,Lockheed L-188AF Electra,4,0,4,2,0,2,1975,July,Summer
2807,"July 15, 1975","Near Batumi, Georgia, USSR",Aeroflot,Yakovlev YAK-40,40,35,5,40,35,5,1975,July,Summer
2808,"July 31, 1975","Taipei, Taiwan",Far Eastern Air Transport,Vickers 837 Viscount,75,70,5,27,27,0,1975,July,Summer
2809,"August 03, 1975","Near Immouzer, Morocco",Alia Royal Jordanian Airlines,Boeing B-707-321C,188,181,7,188,181,7,1975,August,Summer
2810,"August 03, 1975","Off Amapala, Honduras",Military - Nicaraguan Air Force,Douglas DC-47,20,17,3,20,17,3,1975,August,Summer
2811,"August 07, 1975","Denver, Colorado",Continental Airlines,Boeing B-727-224,131,124,7,0,0,0,1975,August,Summer
2812,"August 09, 1975","Bagdarin, Russia",Aeroflot,Ilyushin IL-14M,11,6,5,11,6,5,1975,August,Summer
2813,"August 15, 1975","Krasnovodsk, USSR",Aeroflot,Yakovlev YAK-40,38,34,4,23,21,2,1975,August,Summer
2814,"August 20, 1975","Near Damascus, Syria",Ceskoslovenske Aerolinie,Ilyushin IL-62,128,117,11,126,115,11,1975,August,Summer
2815,"August 30, 1975","Near Gambell, Alaska",Wien Air Alaska,Fairchild F-27B,32,28,4,10,7,3,1975,August,Summer
2816,"September 01, 1975","Leipzig-Halle, East Germany",Interflug,Tupolev TU-134,34,28,6,27,24,3,1975,September,Autumn
2817,"September 11, 1975","Near Bahar Dar, Ethiopia",Ethiopian Airlines,Douglas C-47-DL,9,6,3,1,1,0,1975,September,Autumn
2818,"September 24, 1975","Near Palembang, Indonesia",Garuda Indonesia Airlines,Fokker F-28 Fellowship 1000,61,57,4,25,21,4,1975,September,Autumn
2819,"September 30, 1975","Off Beirut, Lebanon",Malev Hungarian Airlines,Tupolev TU-154B,60,50,10,60,50,10,1975,September,Autumn
2820,"September 30, 1975","Barranquilla, Colombia",AVIANCA,Boeing 727-24C,4,0,4,4,0,4,1975,September,Autumn
2821,"October 22, 1975","Novgorod, Russia",Aeroflot,Yakovlev Yak-40,6,2,4,6,2,4,1975,October,Autumn
2822,"October 23, 1975","Cairns Airport, Queensland, Australia",Connair,de Havilland DH114 Heron 2E,11,8,3,11,8,3,1975,October,Autumn
2823,"October 27, 1975","Tomonoco, Bolivia",TAM (Bolivia),Convair CV-440-12,67,63,4,67,63,4,1975,October,Autumn
2824,"October 30, 1975","Near Prague, Czechoslovakia",Inex Adria Aviopromet,McDonnell Douglas DC-9-32,120,115,5,75,71,4,1975,October,Autumn
2825,"November 03, 1975",Gulf of Mexico,Petroleum Helicopter,Bell 212,9,8,1,9,8,1,1975,November,Autumn
2826,"November 17, 1975","Near Sukhumi, Georgia, USSR",Aeroflot,Antonov AN-24,38,33,5,38,33,5,1975,November,Autumn
2827,"November 18, 1975","Caoba, Guatemala",Aviateca,Douglas DC-3,22,18,4,15,11,4,1975,November,Autumn
2828,"November 20, 1975","Kharkov, Ukraine, USSR",Aeroflot,Antonov AN-24,50,46,4,19,18,1,1975,November,Autumn
2829,"November 22, 1975","Sofia, Bulgaria",Balkan Bulgarian Airlines,Antonov AN-24B,48,45,3,3,2,1,1975,November,Autumn
2830,"November 25, 1975","Near Bir Lahfan, Egypt",Military - Israel  Air Force,Lockheed C-130 Hercules,20,11,9,20,11,9,1975,November,Autumn
2831,"November 29, 1975","Hertfordshire, England",Private,Piper PA-23-250 Aztec,6,5,1,6,5,1,1975,November,Autumn
2832,"December 26, 1975","Rollinsville, Colorado",Star Aviation,Mitsubishi MU-2B,9,8,1,9,8,1,1975,December,Winter
2833,"January 01, 1976","Near Al Qaysumah, Saudi Arabia",Middle East Airlines,Boeing B-720B-023B,82,67,15,82,67,15,1976,January,Winter
2834,"January 03, 1976","Anchorage, Alaska",Winship Air,Lear Jet 24A,6,4,2,6,4,2,1976,January,Winter
2835,"January 03, 1976","Moscow, Russia",Aeroflot,Tupolev TU-124,61,56,5,61,56,5,1976,January,Winter
2836,"January 08, 1976","Mactan Island, Philippines",Philippine Aerotransport,Britten-Norman BN-2A-21 Islander,7,6,1,7,6,1,1976,January,Winter
2837,"January 18, 1976","Near San Borja, Bolivia",Frigorifico Maniqui,Douglas C-47,10,7,3,7,4,3,1976,January,Winter
2838,"January 20, 1976","Near Loja, Ecuador",TAME,Hawker Siddeley HS-748-246,42,36,6,34,28,6,1976,January,Winter
2839,"January 21, 1976","Near Shanghai, China",CAAC,Antonov AN-24,40,36,4,40,36,4,1976,January,Winter
2840,"January 22, 1976","Chapeco, Brazil",Transbrasil,Embraer 110C Bandeirante,11,9,2,9,7,2,1976,January,Winter
2841,"February 04, 1976","Off Santa Maria, Colombia",LAC Colombia,Douglas DC-6A,3,0,3,3,0,3,1976,February,Winter
2842,"February 08, 1976","Van Nuys, California",Mercer Airlines,Douglas DC-6,6,1,5,3,1,2,1976,February,Winter
2843,"February 09, 1976","Irkutsk, Russia",Aeroflot,Tupolev TU-104A,124,104,10,24,15,9,1976,February,Winter
2844,"February 21, 1976","St. Croix, Virgin Islands",Antilles Air,Grumman G-21A seaplane,11,10,1,5,5,0,1976,February,Winter
2845,"March 01, 1976","Sibiu, Romania",Tarom,Ilyushin II-14P,9,5,4,6,3,3,1976,March,Spring
2846,"March 02, 1976",Southeastern Bolivia,TAM (Bolivia),IAI Arava 201,22,18,4,19,15,4,1976,March,Spring
2847,"March 06, 1976","Near Voronezh, Russia",Aeroflot,Ilyushin IL-18E,111,100,11,111,100,11,1976,March,Spring
2848,"March 07, 1976","Igiugig, Alaska",Kodiak Western Alaska Airlines,Cessna 207,4,3,1,4,3,1,1976,March,Spring
2849,"April 02, 1976","Near Puerto Asis, Colombia",SATENA,Douglas DC-3,16,14,2,5,4,1,1976,April,Spring
2850,"April 05, 1976","Ketchikan, Alaska",Alaska Airlines,Boeing B-727-81,50,45,5,1,1,0,1976,April,Spring
2851,"April 14, 1976","Neuquen, Argentina",Yacimientos Petroliferos Fiscales,Hawker Siddeley HS-748 2,34,31,3,34,31,3,1976,April,Spring
2852,"April 23, 1976",Gulf of Mexico,Petroleum Helicopter,Bell 205 A-1 helicopter,12,11,1,12,11,1,1976,April,Spring
2853,"April 27, 1976","St. Thomas, Virgin Islands",American Airlines,Boeing B-727-95,88,81,7,37,35,2,1976,April,Spring
2854,"May 05, 1976","Camuigan, Philippines",Philippine Aerotransport,Britten-Norman BN-2A-21 Islander,10,8,2,4,4,0,1976,May,Spring
2855,"May 09, 1976","Near Cuneca, Spain",Military - Imperial Iranian Air Force,Boeing B-747-131F,17,7,10,17,7,10,1976,May,Spring
2856,"May 15, 1976","Chernigov, Ukraine, USSR",Aeroflot,Antonov AN-24,52,46,6,52,46,6,1976,May,Spring
2857,"May 23, 1976","Zamboanga, Philipines",Philippine Air Lines,BAC One-Eleven 527FK,87,77,10,14,14,0,1976,May,Spring
2858,"June 01, 1976","Nacias Nguema, Equatorial Guinea",Aeroflot,Tupolev TU-154A,45,35,10,45,35,10,1976,June,Summer
2859,"June 04, 1976","Agana, Guam",Air Manila,Lockheed 188A Electra,45,33,12,45,33,12,1976,June,Summer
2860,"June 06, 1976","Off Kota Kinabalu, Malaysia",Sabah Air,GAF Nomad N-22B,11,10,1,11,10,1,1976,June,Summer
2863,"July 28, 1976","Bratislava, Czechoslovakia",Ceskoslovenske Aerolinie,Ilyushin IL-18L,79,73,6,76,70,6,1976,July,Summer
2864,"August 02, 1976","Near Tehran, Iran",Korean Airlines,Boeing 707-373,5,0,5,5,0,5,1976,August,Summer
2865,"August 09, 1976","Moron AFB, Spain	Moron AFB, Spain	Moron AFB, Spain",Military - Spanish Air Force,Douglas C-54E,32,28,4,12,12,0,1976,August,Summer
2866,"August 15, 1976","Andes Mountains, Ecuador",SAETA,Vickers Viscount 785D,59,55,4,59,55,4,1976,August,Summer
2867,"August 28, 1976","Ho Chi Minh City, Vietnam",Air France,Sud Aviation SE 210 Caravelle III,20,15,5,1,1,0,1976,August,Summer
2868,"August 28, 1976","Near Thorney, England",Military - U.S. Air Force,Lockheed C-141A (L.300),18,4,14,18,4,14,1976,August,Summer
2869,"September 02, 1976","Hawk Inlet, Alaska",Temsco Helicopter - Air Taxi,Hughes 369HS,4,3,1,3,2,1,1976,September,Autumn
2870,"September 03, 1976","Lajes, Azores, Portugal",Military - Venezuelan Air Force,Lockheed C-130H,68,58,10,68,58,10,1976,September,Autumn
2871,"September 09, 1976","Off Adler, Russia",Aeroflot / Aeroflot,Antonov AN-24 / Yakovlev Yak-40,64,55,9,64,55,9,1976,September,Autumn
2872,"September 10, 1976","Near Gaj, Hrvatska, Yugoslavia",Inex Adria Aviopromet / British Airways,McDonnell Douglas DC-9-31 / Trident 3B,176,162,14,176,162,14,1976,September,Autumn
2873,"September 19, 1976","Karatepe Mountains, Turkey",Turkish Airlines (THY),Boeing B-727-2F2,154,146,8,154,146,8,1976,September,Autumn
2874,"September 26, 1976","Near Alpena, Michigan",Military - U.S. Air Force,Boeing KC-135A,20,15,5,15,12,3,1976,September,Autumn
2875,"October 04, 1976","Nairobi, Kenya",Emirates Air Transport,Douglas DC-7CF,4,0,4,4,0,4,1976,October,Autumn
2876,"October 06, 1976","Off Bridgetown, Barbados",Cubana de Aviacion,McDonnell Douglas DC-8-43,73,48,25,73,48,25,1976,October,Autumn
2877,"October 13, 1976","Santa Cruz, Bolivia",Lloyd Aéreo Boliviano,Boeing B-707-31,3,0,3,3,0,3,1976,October,Autumn
2878,"October 13, 1976","Near Bombay, India",Indian Airlines,Sud-Aviation Caravelle VI-N,95,89,6,95,89,6,1976,October,Autumn
2879,"October 28, 1976","Near Petrolia, Brazil",Nordeste Linhas Aéreas,Embraer 110C Bandeirante,7,5,2,2,0,2,1976,October,Autumn
2880,"November 04, 1976","Banjarmasin, Indonesia",Bali International Air Service,Fokker F-27 Friendship 100,38,33,5,29,25,4,1976,November,Autumn
2881,"November 05, 1976",Atlantic Ocean,Inair Panama,Douglas DC-3,2,0,2,2,0,2,1976,November,Autumn
2882,"November 23, 1976","Kozani, Greece",Olympic Airways,NAMC YS-11A-500,50,46,4,50,46,4,1976,November,Autumn
2883,"November 28, 1976","Moscow, Russia",Aeroflot,Tupolev TU-104B,73,67,6,73,67,6,1976,November,Autumn
2884,"December 12, 1976","Cape May, New Jersey",Atlantic City Airlines,de Havilland Canada DHC-6 Twin Otter 300,10,8,2,3,3,1,1976,December,Winter
2885,"December 17, 1976","Ust-Kut, Russia",Aeroflot,Yakovlev 40,7,4,3,7,4,3,1976,December,Winter
2886,"December 17, 1976","Kiev, USSR",Aeroflot,Antonov AN-24RV,55,50,5,48,44,4,1976,December,Winter
2887,"December 18, 1976","Nnear Yuzhno-Sakhalinsk, Russia",Aeroflot,Ilyushin IL-14M,8,3,5,8,3,5,1976,December,Winter
2888,"December 25, 1976","Near Bangkok, Thailand",EgyptAir,Boeing B-707-366C,53,44,9,53,44,9,1976,December,Winter
2889,"December 31, 1976","Near Trujillo, Peru",Faucett,Douglas C-54A-1-DO,19,14,5,19,14,5,1976,December,Winter
2890,"January 06, 1977","Near Palm Springs, California",Jet Avia Charter,Gates Learjet 24B,4,2,2,4,2,2,1977,January,Winter
2891,"January 13, 1977","Anchorage, Alaska",Japan Air Lines,Douglas DC-8,5,0,5,5,0,5,1977,January,Winter
2892,"January 13, 1977","Near Alma Ata,  Kazakastan, USSR",Aeroflot,Tupolev TU-104A,90,82,8,90,82,8,1977,January,Winter
2893,"January 14, 1977","Terrace, BC, Canada",Northern Thunderbird Air Ltd.,de Havilland Canada DHC-6 Twin Otter 300,12,9,3,12,9,3,1977,January,Winter
2894,"January 15, 1977","Kalvesta, Sweden",Skyline Sweden,Vickers Viscount 838,22,19,3,22,19,3,1977,January,Winter
2896,"February 11, 1977","Bratislava, Slovakia",Ceskoslovenské Aerolinie,Avia 14T,5,2,3,4,2,2,1977,February,Winter
2897,"February 15, 1977","Mineralnye Vody, Russia",Aeroflot,Ilyushin IL-18V,98,92,6,77,76,1,1977,February,Winter
2898,"February 28, 1977","Near Saglouc, Canada",Survair,Douglas DC-3,10,7,3,4,2,2,1977,February,Winter
2899,"March 01, 1977","Off Aden, Yemen",Alyemda,Douglas DC-3,21,17,3,19,16,3,1977,March,Spring
2900,"March 03, 1977","Near Cascina, Italy",Military - Italian Air Force,Lockheed C-130H,44,38,6,44,38,6,1977,March,Spring
2901,"March 04, 1977","Niamey, Niger",Overseas National Airways,McDonnell Douglas DC-8-63CF,4,0,4,2,0,2,1977,March,Spring
2902,"March 27, 1977","Tenerife, Canary Islands",Pan American World Airways / KLM,Boeing B-747-121 / Boeing B-747-206B,644,614,30,583,560,23,1977,March,Spring
2903,"March 29, 1977","Bainaha Valley, Indonesia",Merpati Nusantara Airlines,de Havilland Canada DHC-6 Twin Otter 300,23,20,3,15,13,2,1977,March,Spring
2904,"March 30, 1977","Near Zhadanof, Russia",Aeroflot,Yakovlev YAK-40,27,23,4,8,5,3,1977,March,Spring
2905,"April 04, 1977","New Hope, Georgia",Southern Airways,McDonnell Douglas DC-9-31,85,81,4,62,60,2,1977,April,Spring
2906,"April 10, 1977","SW of Bogota, Colombia",El Venado,Douglas DC-3-3A,35,31,4,35,31,4,1977,April,Spring
2907,"April 19, 1977","Tapa AFB, Estonia",Military - Soviet Air Force,Antonov An-24,21,15,6,21,15,6,1977,April,Spring
2908,"April 27, 1977","Guatemala City, Guatemala",Aviateca,Convair CV-440,28,22,6,28,22,6,1977,April,Spring
2909,"May 10, 1977","Near Jericho, Jordan",Military - Israel Air Force,Sikorsky CH-53D (helicopter),54,50,4,54,50,4,1977,May,Spring
2910,"May 13, 1977","Beiruit, Lebanon",LOT Polish Airlines,Antonov An-12BP,9,0,9,9,0,9,1977,May,Spring
